,property_type,society,sector,price,price_per_sqft,area,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,Wardrobe,furnishing_type,luxury_score
3465,flat,chd avenue,sector 71,0.98,6049.0,1620.0,3.0,3.0,3,0.0,South-East,Moderately Old,1620.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0
3466,flat,godrej aria,sector 79,0.96,13296.0,722.0,2.0,2.0,3,8.0,North-East,Relatively New,1351.0,,722.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0
3467,flat,tulip violet,sector 69,1.2,10909.0,1100.0,2.0,3.0,0,0.0,Na,Undefined,,1100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0
3468,flat,godrej nature plus,sector 33,1.55,9955.0,1557.0,3.0,2.0,3+,8.0,East,New Property,,,1557.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0
3469,flat,m3m crown,sector 111,4.67,17000.0,2747.0,4.0,4.0,3+,8.0,Na,Under Construction,,,2750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0
3470,house,independent,sector 55,3.55,24500.0,1449.0,4.0,4.0,3+,2.0,,Old Property,1449.0,,,0.0,0.0,0.0,0.0,0.0,6.0,1.0,27.0
3471,flat,emaar mgf emerald floors premier,sector 65,3.0,15190.0,1975.0,4.0,4.0,3+,2.0,South-East,Relatively New,1975.0,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,87.0
3472,flat,sare crescent parc,sector 92,0.5,5000.0,1000.0,2.0,2.0,2,2.0,Na,Relatively New,1000.0,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0
3473,house,greenopolis,sector 89,0.7,5397.0,1297.0,2.0,2.0,2,14.0,North-East,Undefined,,1297.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3474,flat,trisara our homes 3,sohna road,0.38,6312.0,602.0,2.0,2.0,2,1.0,Na,Undefined,,602.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3475,house,independent,sector 4,0.61,11111.0,549.0,2.0,2.0,2,2.0,South-East,Moderately Old,61.0,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14.0
3476,flat,experion windchants,sector 112,5.49,11585.0,4739.0,4.0,5.0,3+,5.0,South,Relatively New,4739.0,3655.35,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,168.0
3477,flat,mvn athens,sohna road,0.24,4211.0,570.0,2.0,2.0,1,12.0,Na,Relatively New,570.0,,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,38.0
3478,house,independent,sector 10a,4.25,17955.0,2367.0,4.0,3.0,2,1.0,North-East,Undefined,,2367.0,1800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3479,flat,tarc maceo,sector 91,0.96,5411.0,1774.0,2.0,2.0,3+,8.0,East,Moderately Old,1404.0,,,0.0,0.0,0.0,0.0,0.0,2.0,1.0,85.0
3480,flat,adani m2k oyster grande,sector 102,4.55,10000.0,4550.0,4.0,4.0,3+,11.0,North-East,Relatively New,4650.0,4630.0,4550.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,60.0
3481,house,independent,sohna road road,6.25,6944.0,9001.0,3.0,3.0,0,1.0,,Moderately Old,9001.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3482,flat,bestech park view residency,sector 2,1.4,7865.0,1780.0,3.0,3.0,3+,8.0,South-West,Moderately Old,1780.0,,,0.0,0.0,0.0,0.0,0.0,3.0,0.0,92.0
3483,house,independent,sector 1,4.75,10556.0,4500.0,6.0,7.0,0,4.0,,Undefined,,4500.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3484,flat,ats tourmaline,sector 109,1.65,7674.0,2150.0,3.0,3.0,3+,16.0,North-East,Relatively New,2150.0,,,0.0,1.0,0.0,0.0,0.0,3.0,1.0,49.0
3485,flat,shree vardhman victoria,sector 70,1.25,9259.0,1350.0,2.0,2.0,3,3.0,East,Relatively New,1350.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0
3486,flat,the penthouses at the hibiscus,sector 50,8.0,8888.0,9001.0,4.0,3.0,3,7.0,South-East,Moderately Old,,,9000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,35.0
3487,flat,bestech park view grand spa,sector 81,3.0,9419.0,3185.0,4.0,5.0,2,6.0,South,Relatively New,3185.0,,,0.0,1.0,0.0,0.0,0.0,4.0,1.0,110.0
3488,flat,gls avenue 51,sector 92,0.21,6954.0,302.0,1.0,1.0,1,0.0,South-East,Relatively New,,,302.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0
3489,flat,emaar gurgaon greens,sector 102,1.45,14174.0,1023.0,3.0,3.0,3,10.0,North-East,Relatively New,1650.0,,1022.58,0.0,1.0,0.0,0.0,0.0,0.0,0.0,165.0
3490,flat,ss the leaf,sector 85,1.05,6402.0,1640.0,2.0,2.0,3,6.0,North-East,Relatively New,1640.0,,,0.0,0.0,0.0,0.0,1.0,2.0,0.0,49.0
3491,house,huda ashok vihar phase,sector 4,0.7,10234.0,684.0,3.0,2.0,1,2.0,North-East,New Property,684.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
3492,flat,puri diplomatic greens,sector 111,3.7,12542.0,2950.0,4.0,5.0,3+,12.0,South-East,Relatively New,2950.0,2650.0,2450.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,158.0
3493,flat,ireo the grand arch,sector 58,4.0,18484.0,2164.0,3.0,4.0,3,5.0,North-West,Old Property,2164.0,,,0.0,1.0,0.0,0.0,0.0,3.0,1.0,49.0
3494,flat,antriksh green,sector 45,2.25,7826.0,2875.0,4.0,4.0,2,9.0,North,Old Property,,,2875.0,0.0,1.0,0.0,0.0,0.0,4.0,2.0,23.0
3495,flat,whiteland  the aspen,sector 76,3.5,11917.0,2937.0,3.0,4.0,3,8.0,Na,Undefined,,2937.0,1762.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3496,flat,tata primanti,sector 72,3.2,12190.0,2625.0,4.0,4.0,3+,8.0,North,Moderately Old,2625.0,2600.0,2550.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,168.0
